From,To,Length,Cost,Var
129,744,245.8542348,34.44426365,264.905863
129,1260,276.4329203,46.12313909,239.5430226
129,443,444.6381518,29.73214263,152.1787559
130,1629,290.5469425,37.22096534,297.0716532
130,1812,472.1494252,54.90506577,227.9948834
1760,130,689.9948448,32.3774803,69.27622264
130,1281,860.6192695,58.77793148,1662.364818
131,562,530.9788349,43.81514718,40.07697181
131,589,1122.026642,177.0442891,9303.245887
131,535,1158.153395,60.33729789,501.3347081
132,333,1234.279989,59.3957481,106.1693882
132,703,881.2258787,62.3753986,149.8491065
132,658,1007.20024,52.44719438,171.6708852
133,1155,749.885223,43.00945776,214.2785395
133,518,702.2276992,74.81781976,440.5920491
133,1087,1592.572846,45.38332395,257.2065665
134,771,382.8435085,109.2537676,2846.605327
134,573,290.5871016,56.77237488,625.6438774
134,618,239.0985736,38.07834523,553.8632104
134,969,312.9263622,61.62086798,344.1241457
135,245,260.3460928,546.31502,63294.85414
135,589,359.9913936,113.0501805,612.172676
136,259,502.0930578,356.3832407,9811.262815
136,285,271.3491026,218.9280267,2624.954296
136,192,352.9318802,271.512518,3779.317855
137,192,421.0464061,432.1170113,31258.27711
137,324,315.5116221,568.1874498,108051.4895
138,234,296.8924869,95.26152424,447.07022
138,466,1538.935186,138.4146127,3576.235047
138,247,1877.861688,37.54876534,247.2862422
139,725,1561.121132,14.34962825,19.33735268
1600,139,1710.720489,33.91678085,70.41742919
139,1612,183.0300287,64.52925632,245.9468487
140,734,151.6410718,49.02579561,326.1253903
140,1069,237.0402654,33.61133015,146.9368425
141,276,152.5390573,80.64930026,1336.646009
141,302,424.3351096,68.16121226,252.0613689
141,289,224.5953135,99.85210877,338.6105416
142,972,328.3305018,52.50479979,164.0469816
142,604,192.0974179,72.87898137,609.9602349
142,790,254.1594452,43.52311703,234.1719907
143,1255,604.9681706,32.77579716,265.5384086
143,1105,321.2386193,51.55332942,479.158827
143,1749,934.5742395,33.11637133,71.29449891
144,1784,416.8350472,68.37224031,924.548381
144,1311,332.3477681,22.92122548,92.62934946
144,1683,512.3599603,69.62662864,2074.732941
145,349,509.2293938,21.95016879,62.19707508
145,319,354.8405378,23.219544,50.71971997
145,661,397.789706,25.96027723,51.58890545
146,1251,542.0671848,57.92627383,286.5650713
146,346,335.5366158,108.9223841,2460.555253
147,295,807.9075937,32.10486814,106.6899796
599,147,424.2016114,38.35106394,123.2859214
147,384,987.1946311,46.74381172,179.2607383
148,884,2267.648197,31.58042762,195.4266372
148,1032,1197.465221,151.2597194,1739.84589
148,927,2127.548928,36.84695765,229.8235653
148,654,2179.590363,32.36260777,98.01105779
149,191,2345.110412,300.0486201,12385.92979
149,670,2095.434059,600.2528405,313741.5136
149,643,2514.976447,349.152389,10055.69436
150,439,6002.490796,168.9480791,1503.089129
150,511,2766.271694,144.6577834,1982.926148
151,1678,450.5765588,61.22008405,273.1300684
152,429,202.4215131,70.12692818,1635.302976
152,260,1051.848713,47.71812903,366.2087023
152,194,82.58190296,44.4717719,102.3415581
153,886,316.3795714,24.16373418,109.4673738
153,872,148.7778925,42.33469243,132.2560767
153,865,185.3524974,58.80133572,268.7097532
154,1818,707.9021962,74.21833885,547.8765585
154,1013,979.1256531,39.39775428,85.00536587
155,250,675.9550383,139.4684643,251.2870802
156,972,211.7407755,18.44891879,12.03037036
156,846,386.9552079,32.54906682,105.4113063
156,1049,310.3407247,29.44578474,45.70755751
157,1743,245.578267,70.03155441,526.729448
157,1300,247.334841,39.32736137,96.46639764
157,1741,229.3955227,59.46692638,203.9364613
157,1709,254.2968848,27.28048061,42.70273058
158,1551,169.2628635,39.22646701,100.8317066
158,1752,324.7243547,44.30779474,148.4750787
158,1196,461.8731119,43.93742994,429.8467328
158,1232,171.7090782,58.20291619,140.5710383
159,215,192.2927303,20.92682281,5.69919545
159,580,203.1393862,41.40216812,228.1524341
160,202,424.8850094,263.6647091,24055.94262
160,281,811.0468057,56.85244745,583.2608347
161,1125,517.6338569,54.65573327,709.4639123
161,1155,169.605448,38.27726833,168.5552788
161,1087,286.0144809,46.77075603,81.28971218
161,635,207.7138149,43.16185605,103.686105
162,779,287.5102115,19.40192185,29.76276136
162,1174,304.7306833,98.88515943,1847.851358
162,1272,1429.612616,42.43809567,132.2041005
163,284,3785.284771,37.66074167,419.6849074
163,428,3630.189347,29.12715647,104.0915154
163,245,5555.625992,70.76811404,172.0620952
164,178,1042.151102,143.6916091,1707.38928
165,246,1007.20024,340.2569804,19470.41786
166,764,1686.876154,95.39624788,696.3340861
166,574,1212.751048,96.98381704,1371.208811
166,354,824.5702416,296.0995474,13370.67005
167,313,592.1145424,35.0040349,129.0347022
167,235,648.108398,28.53641544,43.90895987
167,1163,498.4011262,63.58188965,448.2178626
168,666,456.4763158,49.04641138,177.5109769
168,665,758.9915608,56.3919245,184.1008472
168,1027,590.2740786,32.47932701,110.9645577
169,378,335.3455183,155.3019625,3374.582159
170,225,217.7945999,40.41798422,334.6604107
170,1171,250.1177755,87.10603683,524.071777
170,469,282.5648445,21.87058652,289.690193
171,1888,662.8173793,81.25479085,931.2041337
171,1460,868.2777382,83.37100036,814.5441407
171,1454,1488.209222,49.7863666,206.452082
172,1738,247.6028455,21.00008029,171.1948453
172,1491,124.9885857,101.0735632,1708.673855
172,1856,264.9908061,17.99061535,10.50374454
855,172,316.353673,71.4129759,611.8692791
173,370,209.9648436,67.08620602,319.4653889
173,562,440.7880496,58.60468531,167.3378898
173,553,461.0406423,53.45253598,247.0656228
174,394,194.8399982,26.75526339,69.96393338
174,229,192.3210884,70.71440921,276.143142
174,532,192.5446616,151.6278396,1454.516369
175,334,359.6266167,65.66245271,273.8028634
175,473,187.5999976,47.23394631,244.210131
175,1149,293.6547713,24.02476267,69.87064711
175,975,2332.882465,42.6427097,147.8839466
176,1240,607.8317277,38.89486875,177.2469205
176,1144,421.055211,33.73227517,47.55272552
176,1292,404.8263078,78.26519373,261.619545
177,374,383.5351888,170.9357882,2401.417958
177,232,355.3244599,89.15525426,710.8114335
179,350,119.0059977,119.8541714,1643.313406
179,246,465.079489,88.78080072,1322.293088
179,259,199.1673978,262.4518209,7997.786625
180,756,1119.4482,138.5740954,180.1494779
181,1534,607.0437569,55.52970378,701.7849171
181,1268,237.384053,102.4130487,3218.3447
181,261,222.4363981,122.2616348,3231.281892
182,1414,827.6900126,34.25088916,311.9644318
182,1069,1273.221246,142.200148,7398.601189
182,901,221.4271661,58.1946666,265.2377062
183,422,749.885223,65.03958383,1023.843336
183,276,2158.517894,58.0355844,224.3816368
183,302,2239.113637,72.79633456,111.5218721
183,366,733.8491381,52.5701925,99.1953215
184,1042,880.2680957,85.060859,780.2585859
184,759,202.805409,54.40466182,173.7471844
184,719,217.7093658,56.72884877,319.714923
185,1403,362.6073537,75.45143727,753.0651442
185,1900,340.0459077,50.59198799,278.8811156
185,1490,461.8181134,40.50042561,87.80522991
186,1515,246.5623188,35.39607931,141.2357264
186,1710,640.8767311,48.88243793,136.0572809
186,1551,1658.984337,71.61695952,368.9326498
186,1752,963.8123125,46.49508896,230.5807623
187,490,1357.614927,70.63766396,585.1362089
187,201,218.5365629,221.7130315,7585.637969
187,652,319.6698727,21.88304978,15.32116074
187,358,422.1405494,79.17424869,618.7016653
188,416,349.507551,7.476971241,2.515611098
188,394,401.2949579,184.3888801,2669.437281
189,1073,568.33417,42.36504765,147.8715787
189,1003,551.763024,46.87896289,163.7932431
189,199,122.5245309,39.08618549,200.6970924
190,1039,70.09905097,57.79040384,144.5748731
190,361,391.1443351,26.50549617,74.26617037
190,864,234.484803,77.97776005,262.753248
190,1327,350.2268409,34.18688843,127.8363031
191,374,1152.580029,208.6454029,5319.115147
191,323,612.8852385,200.5447505,2290.069449
194,764,230.0838524,92.97934427,472.5696398
194,574,1023.613396,106.474028,1184.911908
194,583,447.1794015,56.31945174,391.6194544
195,1681,344.1873759,28.48707984,357.363237
195,1579,280.4339864,19.1131784,58.12352402
196,950,149.8594526,36.66263889,119.4433668
196,1422,99.16646842,20.78789643,161.8350234
196,1414,153.1367922,67.90587492,172.663469
197,463,311.8275242,75.96140164,346.5783736
197,237,530.9788349,34.73622972,98.58096101
198,751,1027.36922,168.640954,3851.651354
198,867,1622.907788,144.3931227,2642.099086
198,719,1371.854501,58.08229741,426.494885
198,775,775.7273466,51.40595912,169.7264599
199,1080,1273.221246,36.44671407,77.21659495
199,551,429.7601915,118.1591587,5468.369782
200,453,1423.545352,119.6000102,2768.718529
200,1852,660.0908925,96.01296701,1088.969409
200,1712,138.1830066,85.96376685,669.1277471
200,1072,517.3137746,93.62368115,1054.414665
201,643,668.0956507,317.1915871,3788.123484
202,255,512.3204759,56.08740082,835.7333758
202,294,191.6409795,21.54237792,167.5701506
203,1203,435.7195761,23.70673443,113.3014855
203,856,708.1282195,59.60223308,237.1155
204,746,346.8276777,21.68450905,15.16048649
204,1267,638.6214367,63.82315465,2065.112828
205,528,700.0652288,391.9227063,148682.9169
205,374,522.8182633,129.4360994,1113.841132
206,511,520.6009924,217.3956624,11856.49254
206,1702,525.6727881,211.4925405,14967.60345
208,475,484.2725668,64.22771579,734.0612998
208,700,531.3212946,53.50795096,895.4849291
208,419,352.9601232,142.509954,2508.271521
209,1413,252.2814082,12.7399053,12.06764589
209,1206,219.2840124,31.84331409,92.09988605
209,1480,169.1415537,112.872995,1016.118875
210,1055,356.833513,135.5312204,1778.265392
211,237,193.4954925,22.43796132,7.376290526
212,595,186.6504078,42.63878638,455.3132158
212,1000,1642.392969,26.07236509,397.687086
213,343,745.0250747,107.6077105,882.9868918
213,1442,1099.55667,30.16051512,498.5920351
213,1667,183.7408367,39.14006785,629.9108538
214,1838,245.8542348,35.03455381,112.3912847
214,1030,1151.644154,30.264766,21.82214672
214,1874,56.12003488,89.69939235,290.4220387
215,517,274.1133533,33.08692179,105.2082569
216,242,251.8647729,162.218137,3959.841346
216,268,290.8412154,86.91421223,881.7252129
216,346,475.2483778,39.20491762,226.0615566
217,372,199.749515,107.3245524,5347.851997
217,821,559.1429178,43.4845896,111.6070158
217,1179,296.0129091,101.3044054,1376.019731
218,563,259.4707753,87.88720621,3119.322813
218,456,3785.284771,71.56827795,875.0412967
218,997,2139.601077,40.92153339,99.25630447
218,1822,2011.063681,115.7813943,1909.406955
219,362,3154.6432,54.25196827,119.5302965
220,324,2179.590363,56.66121038,436.8651027
221,724,6002.490796,58.93875188,252.3435208
221,273,618.1188471,58.64019009,488.5816805
221,397,565.2138329,45.11314089,134.1782759
221,484,702.2276992,47.34987401,117.9489364
222,566,498.4011262,40.49029716,56.56694915
222,1338,757.4978528,42.72968031,44.91794517
223,1013,528.5533142,25.54915892,35.94771132
223,873,784.7516748,22.33337755,12.14951662
224,328,124.7648613,38.68544633,109.8184177
224,263,107.4526092,169.9581544,11806.57602
225,401,191.0314798,29.1877498,425.5917467
225,902,227.001576,74.55662734,1571.144272
225,1622,580.2083918,112.8865719,5303.976665
1463,226,148.8402194,33.33123293,49.0297905
226,1043,587.8169162,12.89178158,20.03305561
226,1321,513.6855656,30.07833531,69.44464551
227,1608,680.5687301,76.24319778,508.5429535
227,806,1400.008339,33.90113851,146.3084562
227,1276,496.3083944,33.11349624,98.33700742
227,1184,1387.613862,48.77596999,112.030797
228,1449,463.9731336,84.2934718,656.9707561
228,508,1083.740058,13.47658334,20.10997962
229,867,276.7374659,113.8027407,727.0348547
229,751,251.8647729,171.7660992,2541.080918
230,870,496.9132974,38.63591265,116.3429262
230,933,175.3875019,43.86475833,488.0469959
230,417,455.1286603,36.7104105,108.3822073
230,968,412.7881835,97.51132679,3343.271646
231,1282,482.9838012,91.6865888,901.0696113
231,1144,423.7185614,59.1545798,120.9533143
231,1004,389.6542203,62.42483903,295.1720103
233,298,1642.392969,99.65647418,326.4180903
